[I] 2024/08/10 13:13:12.057+0300 [              engine] loading settings
[I] 2024/08/10 13:13:12.189+0300 [       assets-loader] loading textures/gui/refresh as gui/refresh
[I] 2024/08/10 13:13:12.190+0300 [           scripting] script (layout) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/layouts/pages/main.xml.lua
[I] 2024/08/10 13:13:12.192+0300 [              engine] engine started
[I] 2024/08/10 13:13:16.855+0300 [      content-loader] loading pack [base]
[I] 2024/08/10 13:13:16.856+0300 [           scripting] script (block) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/content/base/scripts/grass_block.lua
[I] 2024/08/10 13:13:16.856+0300 [           scripting] script (block) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/content/base/scripts/sand.lua
[I] 2024/08/10 13:13:16.857+0300 [           scripting] script (block) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/content/base/scripts/wooden_door.lua
[I] 2024/08/10 13:13:16.857+0300 [           scripting] script (item) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/content/base/scripts/bazalt_breaker.lua
[I] 2024/08/10 13:13:16.858+0300 [           scripting] script (component) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/content/base/scripts/components/drop.lua
[I] 2024/08/10 13:13:16.858+0300 [           scripting] script (component) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/content/base/scripts/components/falling_block.lua
[I] 2024/08/10 13:13:16.858+0300 [           scripting] script (component) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/content/base/scripts/components/player_animator.lua
[I] 2024/08/10 13:13:16.858+0300 [      content-loader] loading pack [voxelcraft]
[I] 2024/08/10 13:13:16.858+0300 [           scripting] script (world) /home/minuta18/.voxeng/content/voxelcraft/scripts/world.lua
[I] 2024/08/10 13:13:16.859+0300 [           scripting] script (block) /home/minuta18/.voxeng/content/voxelcraft/scripts/crafting_table.lua
[I] 2024/08/10 13:13:16.859+0300 [           scripting] script (block) /home/minuta18/.voxeng/content/voxelcraft/scripts/furnace.lua
[I] 2024/08/10 13:13:16.859+0300 [           scripting] script (block) /home/minuta18/.voxeng/content/voxelcraft/scripts/chest.lua
[I] 2024/08/10 13:13:16.859+0300 [           scripting] script (component) /home/minuta18/.voxeng/content/voxelcraft/scripts/components/breaker_animator.lua
[I] 2024/08/10 13:13:16.859+0300 [      content-loader] loading pack [examplemod]
[I] 2024/08/10 13:13:16.859+0300 [           scripting] script (world) /home/minuta18/.voxeng/content/example-mod/scripts/world.lua
[E] 2024/08/10 13:13:16.859+0300 [                 lua] [string "examplemod:modules/main.lua"]:3: attempt to call field 'add_crafting_table_crafting' (a nil value)
stack traceback:
	[string "examplemod:modules/main.lua"]:3: in function 'script'
	[string "/tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngin..."]:63: in function 'require'
	[string "/home/minuta18/.voxeng/content/example-mod/sc..."]:1: in main chunk
	[C]: in function 'open_world'
	[string "<string>"]:1: in main chunk
[I] 2024/08/10 13:13:16.860+0300 [              locale] locales [fi_FI (Suomi)] [uk_UA (Українська)] [pl_PL (Polski)] [ru_RU (Русский)] [en_US (English)] [de_DE (Deutsch)] [be_BY (Беларуская)] added
[I] 2024/08/10 13:13:16.860+0300 [              engine] loading assets
[I] 2024/08/10 13:13:16.860+0300 [       assets-loader] loading textures/blocks as blocks
[I] 2024/08/10 13:13:16.866+0300 [       assets-loader] loading textures/items as items
[I] 2024/08/10 13:13:16.868+0300 [       assets-loader] loading fonts/font as normal
[I] 2024/08/10 13:13:16.873+0300 [       assets-loader] loading shaders/ui as ui
[I] 2024/08/10 13:13:16.874+0300 [       assets-loader] loading shaders/main as main
[I] 2024/08/10 13:13:16.874+0300 [       assets-loader] loading shaders/lines as lines
[I] 2024/08/10 13:13:16.874+0300 [       assets-loader] loading textures/gui/menubg as gui/menubg
[I] 2024/08/10 13:13:16.875+0300 [       assets-loader] loading textures/gui/delete_icon as gui/delete_icon
[I] 2024/08/10 13:13:16.875+0300 [       assets-loader] loading textures/gui/no_icon as gui/no_icon
[I] 2024/08/10 13:13:16.875+0300 [       assets-loader] loading textures/gui/no_world_icon as gui/no_world_icon
[I] 2024/08/10 13:13:16.875+0300 [       assets-loader] loading textures/gui/warning as gui/warning
[I] 2024/08/10 13:13:16.875+0300 [       assets-loader] loading textures/gui/error as gui/error
[I] 2024/08/10 13:13:16.875+0300 [       assets-loader] loading textures/gui/cross as gui/cross
[I] 2024/08/10 13:13:16.875+0300 [       assets-loader] loading textures/gui/refresh as gui/refresh
[I] 2024/08/10 13:13:16.876+0300 [       assets-loader] loading textures/layouts/heart-damage as layouts/heart-damage
[I] 2024/08/10 13:13:16.876+0300 [       assets-loader] loading textures/layouts/heart-empty as layouts/heart-empty
[I] 2024/08/10 13:13:16.876+0300 [       assets-loader] loading textures/layouts/heart-full as layouts/heart-full
[I] 2024/08/10 13:13:16.876+0300 [       assets-loader] loading textures/layouts/heart-part as layouts/heart-part
[I] 2024/08/10 13:13:16.876+0300 [       assets-loader] loading textures/layouts/hunger-empty as layouts/hunger-empty
[I] 2024/08/10 13:13:16.876+0300 [       assets-loader] loading textures/layouts/hunger-full as layouts/hunger-full
[I] 2024/08/10 13:13:16.876+0300 [       assets-loader] loading textures/layouts/hunger-part as layouts/hunger-part
[I] 2024/08/10 13:13:16.876+0300 [       assets-loader] loading textures/layouts/fire-icon as layouts/fire-icon
[I] 2024/08/10 13:13:16.877+0300 [       assets-loader] loading textures/layouts/fire-icon2 as layouts/fire-icon2
[I] 2024/08/10 13:13:16.877+0300 [       assets-loader] loading sounds/hit1 as hit1
[I] 2024/08/10 13:13:16.878+0300 [       assets-loader] loading shaders/ui3d as ui3d
[I] 2024/08/10 13:13:16.879+0300 [       assets-loader] loading shaders/entity as entity
[I] 2024/08/10 13:13:16.880+0300 [       assets-loader] loading shaders/screen as screen
[I] 2024/08/10 13:13:16.880+0300 [       assets-loader] loading shaders/background as background
[I] 2024/08/10 13:13:16.880+0300 [       assets-loader] loading shaders/skybox_gen as skybox_gen
[I] 2024/08/10 13:13:16.881+0300 [       assets-loader] loading textures/misc/moon as misc/moon
[I] 2024/08/10 13:13:16.884+0300 [       assets-loader] loading textures/misc/sun as misc/sun
[I] 2024/08/10 13:13:16.886+0300 [       assets-loader] loading textures/gui/crosshair as gui/crosshair
[I] 2024/08/10 13:13:16.887+0300 [       assets-loader] loading sounds/blocks/door_open as blocks/door_open
[I] 2024/08/10 13:13:16.888+0300 [       assets-loader] loading sounds/blocks/door_close as blocks/door_close
[I] 2024/08/10 13:13:16.889+0300 [       assets-loader] loading sounds/events/pickup as events/pickup
[I] 2024/08/10 13:13:16.890+0300 [       assets-loader] loading models/drop-item as drop-item
[I] 2024/08/10 13:13:16.890+0300 [       assets-loader] loading sounds/steps/wood as steps/wood
[I] 2024/08/10 13:13:16.893+0300 [       assets-loader] loading sounds/blocks/wood_place as blocks/wood_place
[I] 2024/08/10 13:13:16.894+0300 [       assets-loader] loading sounds/blocks/wood_break as blocks/wood_break
[I] 2024/08/10 13:13:16.895+0300 [       assets-loader] loading sounds/steps/stone as steps/stone
[I] 2024/08/10 13:13:16.898+0300 [       assets-loader] loading sounds/blocks/stone_place as blocks/stone_place
[I] 2024/08/10 13:13:16.900+0300 [       assets-loader] loading sounds/blocks/stone_break as blocks/stone_break
[I] 2024/08/10 13:13:16.901+0300 [       assets-loader] loading sounds/steps/sand as steps/sand
[I] 2024/08/10 13:13:16.903+0300 [       assets-loader] loading sounds/blocks/ground_place as blocks/ground_place
[I] 2024/08/10 13:13:16.907+0300 [       assets-loader] loading sounds/blocks/ground_break as blocks/ground_break
[I] 2024/08/10 13:13:16.908+0300 [       assets-loader] loading sounds/steps/ground as steps/ground
[I] 2024/08/10 13:13:16.911+0300 [       assets-loader] loading sounds/blocks/ground_place as blocks/ground_place
[I] 2024/08/10 13:13:16.914+0300 [       assets-loader] loading sounds/blocks/ground_break as blocks/ground_break
[I] 2024/08/10 13:13:16.914+0300 [       assets-loader] loading sounds/steps/grass as steps/grass
[I] 2024/08/10 13:13:16.917+0300 [       assets-loader] loading sounds/blocks/ground_place as blocks/ground_place
[I] 2024/08/10 13:13:16.920+0300 [       assets-loader] loading sounds/blocks/ground_break as blocks/ground_break
[I] 2024/08/10 13:13:16.921+0300 [       assets-loader] loading sounds/steps/grass as steps/grass
[I] 2024/08/10 13:13:16.924+0300 [       assets-loader] loading sounds/steps/grass as steps/grass
[I] 2024/08/10 13:13:16.926+0300 [       assets-loader] loading sounds/steps/grass as steps/grass
[I] 2024/08/10 13:13:16.928+0300 [       assets-loader] loading sounds/steps/metal as steps/metal
[I] 2024/08/10 13:13:16.934+0300 [       assets-loader] loading sounds/blocks/metal_place as blocks/metal_place
[I] 2024/08/10 13:13:16.936+0300 [       assets-loader] loading sounds/blocks/metal_break as blocks/metal_break
[I] 2024/08/10 13:13:16.938+0300 [       assets-loader] loading sounds/steps/glass as steps/glass
[I] 2024/08/10 13:13:16.941+0300 [       assets-loader] loading sounds/blocks/glass_place as blocks/glass_place
[I] 2024/08/10 13:13:16.942+0300 [       assets-loader] loading sounds/blocks/glass_break as blocks/glass_break
[I] 2024/08/10 13:13:16.944+0300 [       assets-loader] loading sounds/steps/carpet as steps/carpet
[I] 2024/08/10 13:13:16.946+0300 [       assets-loader] loading sounds/blocks/carpet_place as blocks/carpet_place
[I] 2024/08/10 13:13:16.947+0300 [       assets-loader] loading sounds/blocks/carpet_break as blocks/carpet_break
[I] 2024/08/10 13:13:16.948+0300 [       assets-loader] loading /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/layouts/console.xml as core:console
[I] 2024/08/10 13:13:16.949+0300 [           scripting] script (layout) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/layouts/console.xml.lua
[I] 2024/08/10 13:13:16.949+0300 [       assets-loader] loading /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/layouts/inventory.xml as core:inventory
[I] 2024/08/10 13:13:16.949+0300 [           scripting] script (layout) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/layouts/inventory.xml.lua
[I] 2024/08/10 13:13:16.949+0300 [       assets-loader] loading /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/layouts/process.xml as core:process
[I] 2024/08/10 13:13:16.949+0300 [           scripting] script (layout) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/layouts/process.xml.lua
[I] 2024/08/10 13:13:16.949+0300 [       assets-loader] loading /home/minuta18/.voxeng/content/voxelcraft/layouts/chest.xml as voxelcraft:chest
[I] 2024/08/10 13:13:16.949+0300 [       assets-loader] loading /home/minuta18/.voxeng/content/voxelcraft/layouts/crafting_table.xml as voxelcraft:crafting_table
[I] 2024/08/10 13:13:16.949+0300 [           scripting] script (layout) /home/minuta18/.voxeng/content/voxelcraft/layouts/crafting_table.xml.lua
[I] 2024/08/10 13:13:16.949+0300 [       assets-loader] loading /home/minuta18/.voxeng/content/voxelcraft/layouts/crafting_table_inventory.xml as voxelcraft:crafting_table_inventory
[I] 2024/08/10 13:13:16.949+0300 [           scripting] script (layout) /home/minuta18/.voxeng/content/voxelcraft/layouts/crafting_table_inventory.xml.lua
[I] 2024/08/10 13:13:16.949+0300 [       assets-loader] loading /home/minuta18/.voxeng/content/voxelcraft/layouts/died_menu.xml as voxelcraft:died_menu
[I] 2024/08/10 13:13:16.949+0300 [           scripting] script (layout) /home/minuta18/.voxeng/content/voxelcraft/layouts/died_menu.xml.lua
[I] 2024/08/10 13:13:16.949+0300 [       assets-loader] loading /home/minuta18/.voxeng/content/voxelcraft/layouts/furnace.xml as voxelcraft:furnace
[I] 2024/08/10 13:13:16.949+0300 [           scripting] script (layout) /home/minuta18/.voxeng/content/voxelcraft/layouts/furnace.xml.lua
[I] 2024/08/10 13:13:16.949+0300 [       assets-loader] loading /home/minuta18/.voxeng/content/voxelcraft/layouts/health_bar.xml as voxelcraft:health_bar
[I] 2024/08/10 13:13:16.949+0300 [           scripting] script (layout) /home/minuta18/.voxeng/content/voxelcraft/layouts/health_bar.xml.lua
[I] 2024/08/10 13:13:16.949+0300 [       assets-loader] loading /home/minuta18/.voxeng/content/voxelcraft/layouts/hunger_bar.xml as voxelcraft:hunger_bar
[I] 2024/08/10 13:13:16.950+0300 [           scripting] script (layout) /home/minuta18/.voxeng/content/voxelcraft/layouts/hunger_bar.xml.lua
[I] 2024/08/10 13:13:16.950+0300 [       assets-loader] loading /home/minuta18/.voxeng/content/voxelcraft/layouts/inventory_blocker.xml as voxelcraft:inventory_blocker
[I] 2024/08/10 13:13:16.950+0300 [           scripting] script (layout) /home/minuta18/.voxeng/content/voxelcraft/layouts/inventory_blocker.xml.lua
[I] 2024/08/10 13:13:16.950+0300 [       assets-loader] loading models/breaker as breaker
[I] 2024/08/10 13:13:16.950+0300 [       assets-loader] loading models/player-body as player-body
[I] 2024/08/10 13:13:16.950+0300 [       assets-loader] loading models/player-head as player-head
[I] 2024/08/10 13:13:16.950+0300 [       assets-loader] loading models/drop-block as drop-block
[I] 2024/08/10 13:13:16.950+0300 [       assets-loader] loading models/block as block
[I] 2024/08/10 13:13:16.950+0300 [       assets-loader] loading textures/entities/player as entities/player
[I] 2024/08/10 13:13:16.950+0300 [       assets-loader] loading textures/entities/player as entities/player
[I] 2024/08/10 13:13:16.950+0300 [               world] world version: 0.22
[I] 2024/08/10 13:13:16.984+0300 [       chunks-render] created 12 workers
[I] 2024/08/10 13:13:16.984+0300 [       scripting-hud] loading script /home/minuta18/.voxeng/content/voxelcraft/scripts/hud.lua
[I] 2024/08/10 13:13:16.985+0300 [       scripting-hud] loading script /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/content/base/scripts/hud.lua
[I] 2024/08/10 13:14:33.857+0300 [       level-control] writing world
[I] 2024/08/10 13:14:34.167+0300 [        level-screen] saving world preview
[I] 2024/08/10 13:14:34.184+0300 [              locale] locales [fi_FI (Suomi)] [uk_UA (Українська)] [pl_PL (Polski)] [ru_RU (Русский)] [en_US (English)] [de_DE (Deutsch)] [be_BY (Беларуская)] added
[I] 2024/08/10 13:14:34.184+0300 [              engine] loading assets
[I] 2024/08/10 13:14:34.184+0300 [       assets-loader] loading textures/blocks as blocks
[I] 2024/08/10 13:14:34.186+0300 [       assets-loader] loading textures/items as items
[I] 2024/08/10 13:14:34.186+0300 [       assets-loader] loading fonts/font as normal
[I] 2024/08/10 13:14:34.188+0300 [       assets-loader] loading shaders/ui as ui
[I] 2024/08/10 13:14:34.188+0300 [       assets-loader] loading shaders/main as main
[I] 2024/08/10 13:14:34.188+0300 [       assets-loader] loading shaders/lines as lines
[I] 2024/08/10 13:14:34.188+0300 [       assets-loader] loading textures/gui/menubg as gui/menubg
[I] 2024/08/10 13:14:34.189+0300 [       assets-loader] loading textures/gui/delete_icon as gui/delete_icon
[I] 2024/08/10 13:14:34.189+0300 [       assets-loader] loading textures/gui/no_icon as gui/no_icon
[I] 2024/08/10 13:14:34.189+0300 [       assets-loader] loading textures/gui/no_world_icon as gui/no_world_icon
[I] 2024/08/10 13:14:34.189+0300 [       assets-loader] loading textures/gui/warning as gui/warning
[I] 2024/08/10 13:14:34.189+0300 [       assets-loader] loading textures/gui/error as gui/error
[I] 2024/08/10 13:14:34.189+0300 [       assets-loader] loading textures/gui/cross as gui/cross
[I] 2024/08/10 13:14:34.189+0300 [       assets-loader] loading textures/gui/refresh as gui/refresh
[I] 2024/08/10 13:14:34.190+0300 [           scripting] script (layout) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/layouts/pages/main.xml.lua
[I] 2024/08/10 13:14:34.858+0300 [      content-loader] loading pack [base]
[I] 2024/08/10 13:14:34.858+0300 [           scripting] script (block) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/content/base/scripts/grass_block.lua
[I] 2024/08/10 13:14:34.859+0300 [           scripting] script (block) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/content/base/scripts/sand.lua
[I] 2024/08/10 13:14:34.859+0300 [           scripting] script (block) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/content/base/scripts/wooden_door.lua
[I] 2024/08/10 13:14:34.859+0300 [           scripting] script (item) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/content/base/scripts/bazalt_breaker.lua
[I] 2024/08/10 13:14:34.860+0300 [           scripting] script (component) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/content/base/scripts/components/drop.lua
[I] 2024/08/10 13:14:34.860+0300 [           scripting] script (component) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/content/base/scripts/components/falling_block.lua
[I] 2024/08/10 13:14:34.860+0300 [           scripting] script (component) /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/content/base/scripts/components/player_animator.lua
[I] 2024/08/10 13:14:34.860+0300 [      content-loader] loading pack [voxelcraft]
[I] 2024/08/10 13:14:34.860+0300 [           scripting] script (world) /home/minuta18/.voxeng/content/voxelcraft/scripts/world.lua
[I] 2024/08/10 13:14:34.861+0300 [           scripting] script (block) /home/minuta18/.voxeng/content/voxelcraft/scripts/crafting_table.lua
[I] 2024/08/10 13:14:34.861+0300 [           scripting] script (block) /home/minuta18/.voxeng/content/voxelcraft/scripts/furnace.lua
[I] 2024/08/10 13:14:34.861+0300 [           scripting] script (block) /home/minuta18/.voxeng/content/voxelcraft/scripts/chest.lua
[I] 2024/08/10 13:14:34.862+0300 [           scripting] script (component) /home/minuta18/.voxeng/content/voxelcraft/scripts/components/breaker_animator.lua
[I] 2024/08/10 13:14:34.862+0300 [      content-loader] loading pack [examplemod]
[I] 2024/08/10 13:14:34.862+0300 [           scripting] script (world) /home/minuta18/.voxeng/content/example-mod/scripts/world.lua
[E] 2024/08/10 13:14:34.862+0300 [                 lua] [string "examplemod:modules/main.lua"]:3: attempt to call field 'add_crafting_table_crafting' (a nil value)
stack traceback:
	[string "examplemod:modules/main.lua"]:3: in function 'script'
	[string "/tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngin..."]:63: in function 'require'
	[string "/home/minuta18/.voxeng/content/example-mod/sc..."]:1: in main chunk
	[C]: in function 'open_world'
	[string "<string>"]:1: in main chunk
[I] 2024/08/10 13:14:34.862+0300 [              locale] locales [fi_FI (Suomi)] [uk_UA (Українська)] [pl_PL (Polski)] [ru_RU (Русский)] [en_US (English)] [de_DE (Deutsch)] [be_BY (Беларуская)] added
[I] 2024/08/10 13:14:34.862+0300 [              engine] loading assets
[I] 2024/08/10 13:14:34.863+0300 [       assets-loader] loading textures/blocks as blocks
[I] 2024/08/10 13:14:34.867+0300 [       assets-loader] loading textures/items as items
[I] 2024/08/10 13:14:34.868+0300 [       assets-loader] loading fonts/font as normal
[I] 2024/08/10 13:14:34.871+0300 [       assets-loader] loading shaders/ui as ui
[I] 2024/08/10 13:14:34.871+0300 [       assets-loader] loading shaders/main as main
[I] 2024/08/10 13:14:34.872+0300 [       assets-loader] loading shaders/lines as lines
[I] 2024/08/10 13:14:34.872+0300 [       assets-loader] loading textures/gui/menubg as gui/menubg
[I] 2024/08/10 13:14:34.872+0300 [       assets-loader] loading textures/gui/delete_icon as gui/delete_icon
[I] 2024/08/10 13:14:34.872+0300 [       assets-loader] loading textures/gui/no_icon as gui/no_icon
[I] 2024/08/10 13:14:34.872+0300 [       assets-loader] loading textures/gui/no_world_icon as gui/no_world_icon
[I] 2024/08/10 13:14:34.872+0300 [       assets-loader] loading textures/gui/warning as gui/warning
[I] 2024/08/10 13:14:34.872+0300 [       assets-loader] loading textures/gui/error as gui/error
[I] 2024/08/10 13:14:34.872+0300 [       assets-loader] loading textures/gui/cross as gui/cross
[I] 2024/08/10 13:14:34.872+0300 [       assets-loader] loading textures/gui/refresh as gui/refresh
[I] 2024/08/10 13:14:34.873+0300 [       assets-loader] loading textures/layouts/heart-damage as layouts/heart-damage
[I] 2024/08/10 13:14:34.873+0300 [       assets-loader] loading textures/layouts/heart-empty as layouts/heart-empty
[I] 2024/08/10 13:14:34.873+0300 [       assets-loader] loading textures/layouts/heart-full as layouts/heart-full
[I] 2024/08/10 13:14:34.873+0300 [       assets-loader] loading textures/layouts/heart-part as layouts/heart-part
[I] 2024/08/10 13:14:34.873+0300 [       assets-loader] loading textures/layouts/hunger-empty as layouts/hunger-empty
[I] 2024/08/10 13:14:34.873+0300 [       assets-loader] loading textures/layouts/hunger-full as layouts/hunger-full
[I] 2024/08/10 13:14:34.873+0300 [       assets-loader] loading textures/layouts/hunger-part as layouts/hunger-part
[I] 2024/08/10 13:14:34.873+0300 [       assets-loader] loading textures/layouts/fire-icon as layouts/fire-icon
[I] 2024/08/10 13:14:34.873+0300 [       assets-loader] loading textures/layouts/fire-icon2 as layouts/fire-icon2
[I] 2024/08/10 13:14:34.873+0300 [       assets-loader] loading sounds/hit1 as hit1
[I] 2024/08/10 13:14:34.874+0300 [       assets-loader] loading shaders/ui3d as ui3d
[I] 2024/08/10 13:14:34.875+0300 [       assets-loader] loading shaders/entity as entity
[I] 2024/08/10 13:14:34.875+0300 [       assets-loader] loading shaders/screen as screen
[I] 2024/08/10 13:14:34.875+0300 [       assets-loader] loading shaders/background as background
[I] 2024/08/10 13:14:34.875+0300 [       assets-loader] loading shaders/skybox_gen as skybox_gen
[I] 2024/08/10 13:14:34.875+0300 [       assets-loader] loading textures/misc/moon as misc/moon
[I] 2024/08/10 13:14:34.878+0300 [       assets-loader] loading textures/misc/sun as misc/sun
[I] 2024/08/10 13:14:34.880+0300 [       assets-loader] loading textures/gui/crosshair as gui/crosshair
[I] 2024/08/10 13:14:34.880+0300 [       assets-loader] loading sounds/blocks/door_open as blocks/door_open
[I] 2024/08/10 13:14:34.881+0300 [       assets-loader] loading sounds/blocks/door_close as blocks/door_close
[I] 2024/08/10 13:14:34.882+0300 [       assets-loader] loading sounds/events/pickup as events/pickup
[I] 2024/08/10 13:14:34.883+0300 [       assets-loader] loading models/drop-item as drop-item
[I] 2024/08/10 13:14:34.883+0300 [       assets-loader] loading sounds/steps/wood as steps/wood
[I] 2024/08/10 13:14:34.885+0300 [       assets-loader] loading sounds/blocks/wood_place as blocks/wood_place
[I] 2024/08/10 13:14:34.886+0300 [       assets-loader] loading sounds/blocks/wood_break as blocks/wood_break
[I] 2024/08/10 13:14:34.887+0300 [       assets-loader] loading sounds/steps/stone as steps/stone
[I] 2024/08/10 13:14:34.890+0300 [       assets-loader] loading sounds/blocks/stone_place as blocks/stone_place
[I] 2024/08/10 13:14:34.891+0300 [       assets-loader] loading sounds/blocks/stone_break as blocks/stone_break
[I] 2024/08/10 13:14:34.892+0300 [       assets-loader] loading sounds/steps/sand as steps/sand
[I] 2024/08/10 13:14:34.895+0300 [       assets-loader] loading sounds/blocks/ground_place as blocks/ground_place
[I] 2024/08/10 13:14:34.897+0300 [       assets-loader] loading sounds/blocks/ground_break as blocks/ground_break
[I] 2024/08/10 13:14:34.898+0300 [       assets-loader] loading sounds/steps/ground as steps/ground
[I] 2024/08/10 13:14:34.901+0300 [       assets-loader] loading sounds/blocks/ground_place as blocks/ground_place
[I] 2024/08/10 13:14:34.904+0300 [       assets-loader] loading sounds/blocks/ground_break as blocks/ground_break
[I] 2024/08/10 13:14:34.905+0300 [       assets-loader] loading sounds/steps/grass as steps/grass
[I] 2024/08/10 13:14:34.907+0300 [       assets-loader] loading sounds/blocks/ground_place as blocks/ground_place
[I] 2024/08/10 13:14:34.910+0300 [       assets-loader] loading sounds/blocks/ground_break as blocks/ground_break
[I] 2024/08/10 13:14:34.911+0300 [       assets-loader] loading sounds/steps/grass as steps/grass
[I] 2024/08/10 13:14:34.913+0300 [       assets-loader] loading sounds/steps/grass as steps/grass
[I] 2024/08/10 13:14:34.916+0300 [       assets-loader] loading sounds/steps/grass as steps/grass
[I] 2024/08/10 13:14:34.918+0300 [       assets-loader] loading sounds/steps/metal as steps/metal
[I] 2024/08/10 13:14:34.923+0300 [       assets-loader] loading sounds/blocks/metal_place as blocks/metal_place
[I] 2024/08/10 13:14:34.925+0300 [       assets-loader] loading sounds/blocks/metal_break as blocks/metal_break
[I] 2024/08/10 13:14:34.926+0300 [       assets-loader] loading sounds/steps/glass as steps/glass
[I] 2024/08/10 13:14:34.929+0300 [       assets-loader] loading sounds/blocks/glass_place as blocks/glass_place
[I] 2024/08/10 13:14:34.930+0300 [       assets-loader] loading sounds/blocks/glass_break as blocks/glass_break
[I] 2024/08/10 13:14:34.931+0300 [       assets-loader] loading sounds/steps/carpet as steps/carpet
[I] 2024/08/10 13:14:34.934+0300 [       assets-loader] loading sounds/blocks/carpet_place as blocks/carpet_place
[I] 2024/08/10 13:14:34.935+0300 [       assets-loader] loading sounds/blocks/carpet_break as blocks/carpet_break
[I] 2024/08/10 13:14:34.935+0300 [       assets-loader] loading /tmp/.mount_voxeleVPLkpY/usr/share/VoxelEngine/res/layouts/console.xml as core:console
